JAPAN-A_Core マクロ経済複雑系シミュレーション結果
エクスポート日時,2026/06/17 21:31:50
[前提条件 (Inputs)]
項目,設定値,単位,実態適合スケーリング後/説明
初期名目GDP(Y0),691.9,兆円,開始時点(t=0)の名目GDP (実態適合)
初期政府債務残高(B0),1145.0,兆円,開始時点(t=0)の普通国債残高 (実態適合)
初期インフレ率(pi0),2.00,%,開始時点(t=0)の年率インフレ率
初期政策金利(r0),0.25,%,開始時点(t=0)の政策金利
初期長期金利(R0),3.00,%,開始時点(t=0)の長期金利 (リスクプレミアム加味)
初期為替レート(E0),150.0,円/ドル,開始時点(t=0)の為替レート
初期日銀国債保有量(BOJ0),588.4,兆円,開始時点(t=0)の日銀保有国債残高
初期民間保有国債(B_private0),556.6,兆円,開始時点(t=0)の民間部門保有国債残高
政府支出(G),100,兆円,実態適合スケーリング後: 91.0 兆円 (令和8年度予算ベース)
税率(tau),20,%,実効税率調整係数込で初期税収 83.7 兆円に適合
利上げ上限パルス(delta_r_max),0.25,%,1期(四半期)あたりの最大金利変更幅
目標インフレ率(pi_target),2.0,%,中央銀行 of Japan の政策金利調整基準インフレ目標
潜在GDP(Y_potential),500,兆円,実態適合スケーリング後: 691.9 兆円 (供給側上限)
日銀国債買い入れ額(Op),6.0,兆円/月,量的金融政策 (QT/QEの境界は 3.0 兆円/月)
シミュレーション期間(steps),120,期,1期=四半期 (合計: 30.0 年間)

[シミュレーション時系列データ (Outputs)]
期 (step),名目GDP (Y) [兆円],消費 (C) [兆円],投資 (I) [兆円],政府債務残高 (B) [兆円],税収 (T) [兆円],日銀保有国債 (B_boj) [兆円],日銀当座預金負債 (J_pos) [兆円],民間保有国債 (B_private) [兆円],インフレ率 (pi) [%],政策金利 (r) [%],長期金利 (R) [%],為替レート (USDJPY) [円/ドル],利払い費 (interest_payment) [兆円],当座預金付利負担 (boj_interest_payment) [兆円]
0,691.9000,380.5000,138.4000,1145.0000,83.7000,588.4000,543.6000,556.6000,2.0000,0.2500,3.0000,150.0000,34.3500,1.3590
1,698.6847,384.2766,139.7369,1155.5471,84.5207,588.9000,543.6000,566.6471,1.9804,0.0000,3.0000,150.3187,34.3500,1.3590
2,705.6461,388.1053,141.1292,1165.6029,85.3629,589.4000,543.6000,576.2029,1.9767,0.0000,2.7690,150.6511,34.5863,1.3590
3,712.7731,392.0252,142.5546,1175.5198,86.2250,589.9000,543.6000,585.6198,1.9868,0.2351,2.7838,150.9830,34.8925,1.3590
4,720.0391,396.0215,143.8929,1185.6325,87.1040,590.4000,543.6000,595.2325,2.0087,0.4851,3.0319,151.3010,35.2768,1.2782
5,727.3372,400.0354,144.3947,1195.9636,87.9869,590.9000,543.6000,605.0636,2.0406,0.7351,3.2950,151.6074,35.6739,2.6372
6,734.6495,404.0572,144.8772,1206.5146,88.8715,591.4000,543.6000,615.1146,2.0808,0.9851,3.5588,151.9051,36.0794,3.9962
7,741.9603,408.0782,145.3369,1217.2878,89.7559,591.9000,543.6000,625.3878,2.1279,1.2351,3.8235,152.1966,36.4935,5.3552
8,749.2558,412.0907,145.7707,1228.2858,90.6384,592.4000,543.6000,635.8858,2.1807,1.4851,4.0892,152.4839,36.9164,6.7142
9,756.5233,416.0878,146.1761,1239.5118,91.5176,592.9000,543.6000,646.6118,2.2382,1.7351,4.3558,152.7689,37.3482,8.0732
10,763.7517,420.0634,146.5507,1250.9691,92.3920,593.4000,543.6000,657.5691,2.2996,1.9851,4.6235,153.0529,37.7890,9.4322
11,770.9308,424.0119,146.8926,1262.6616,93.2605,593.9000,543.6000,668.7616,2.3642,2.2351,4.8922,153.3370,38.2392,10.7912
12,778.0513,427.9282,147.1998,1274.5933,94.1218,594.4000,543.6000,680.1933,2.4315,2.4851,5.1619,153.6224,38.6988,12.1502
13,785.1047,431.8076,147.4709,1286.7689,94.9751,594.9000,543.6000,691.8689,2.5008,2.7351,5.4328,153.9097,39.1681,13.5092
14,792.0831,435.6457,147.7044,1299.1929,95.8193,595.4000,543.6000,703.7929,2.5718,2.9851,5.7048,154.1997,39.6472,14.8682
15,798.9793,439.4386,147.8991,1311.8704,96.6535,595.9000,543.6000,715.9704,2.6441,3.2351,5.9780,154.4928,40.1365,16.2272
16,805.7865,443.1826,148.0538,1324.8068,97.4770,596.4000,543.6000,728.4068,2.7174,3.4851,6.2523,154.7895,40.6361,17.5862
17,812.4983,446.8740,148.1677,1338.0074,98.2889,596.9000,543.6000,741.1074,2.7915,3.7351,6.5279,155.0902,41.1463,18.9452
